job_title,extracted_raw_text,entities
BARISTA.png,"Mat aU hihi ay
7 C)
i A IS 4
| % oy I
= Z) » ( s a)
S LO
Cj We are Hiring D
S . la
Starbucks Robinsons Place Malolos
P {| Ground floor Robinsons Place, Mac Arthur Highway Malolos, ? 4
Bulacan Ca
Ss Mel aihiela eM man eaten ams LO
p 4 Seanonal Barista: , 4
L)
v For Full Time positions: Candidate must possess at least a Bachelor's/College Degree in any
bills)
el > PeEEIG uO pe AIEERR CRI RANCHO eneEI TT eREECENET COMEDIC i
Nae en nS Tal Ladle Mba Lae MMT h MEM ae aeTe Rem l UL ai TeLe
required
q UEC ee lelcmCenteTeo 12 = Y
Kindly send your updated resume with a photo at Cc)
/ starbucks.malolos@gmail.com \
OJ L)
5 QPRHAF C)
Loe \ Ds I SS! is","{'s', 'J', 'ĠH', 'Ġl', 'q', '/', 'Ġ.', '=', 'Ġat', 'Ġpe', 'M', 'e', 'E', 'c', 'ĠMEM', ':', '|', 'ĠA', '!', 'Ġ?', 'Ġu', 'U', 'j', 'ĠU', 'ĠIS', 'Ġare', 'EE', 'ih', 'Ġs', 'ĠRem', '7', 'o', 'ĠD', 'Ġa', 'ĠÂ»', 'v', 'ae', 'O', 'EC', 'Ġis', 'PR', 'Ġh', 'HA', 'ĠI', 'Ġay', 'L', 'a', 'ĠWe', 'Ġ12', 'oe', 'Ġ\\', 'Te', ')', 'iring', 'ĠPe', 'ĠQ', 'Ċ', 'ĠSS', 'ĠMat', 'Ġle', 'ĠLO', 'S', 'Ġ4', 'ĠZ', 'IG', 'ĠAI', 'Ġe', 'Ġ=', 'el', 'Ġeaten', 'Ġ,', 'Ġla', '5', 'ĠTT', 'Ġ%', 'required', 'Cent', 'R', 'com', 'ĠUL', 'Ġam', 'ĠTe', 'Ġ(', 'ĠY', 'Ġen', 'C', 'Le', 'ĠC', ',', 'P', 'I', 'ĠL', 'i', 'RI', 'ĠMel', 'Ġn', 'Ġ>', 'p', 'Ġman', 'Ġ{', 'Ġoy', 'Ġi', 'F'}"
BARISTA2.JPG,"Hi @ (/
Kitchen Staff, Barista, and Delivery Rider

« MUST BE 20 YEARS OLD AND ABOVE

« WILLING TO WORK A FULL TIME JOB

¢ WILLING TO BE TRAINED

« FAST LEARNER AND HAS GOOD COMMUNICATION SKILLS

* COMPUTER LITERACY IS AN ADVANTAGE

« DRIVER LICENSE IS AN ADVANTAGE

e« WITH FRIENDLY PERSONALITY

Apply Now

send your resume to our Gmail: or bring your resume personally
baofeicafe@gmail.com to our Tagoloan Branch","{'@', 'Ġor', '*', ':', 'Ġ(/', 'com', 'Â¢', 'Â«', 'Ċ', 'e', 'Ġto', 'Ġ@', 'ĠHi'}"
BILIGUAL SPEAKER.docx,"Bilingual Speaker (German & English) Customer Support Specialist
Job Requirement:
Fluency in both German and English is a MUST – Please DO NOT apply if you are not proficient in German.
Strong verbal and written communication skills in both German and English.
Ability to understand, interpret, and clarify customer goals, providing thoughtful and helpful responses.
Ensure customers are treated with respect and kindness, as we would expect for ourselves. Be mindful of everyone’s time, deliver exceptional service, and always bring a sense of fun, creativity, and open-mindedness to your work.
Continuously seek growth and learning opportunities. Embrace and drive positive change.
Strong problem-solving skills – evaluate all options thoroughly before making decisions.
Excellent organizational skills and attention to detail.
Be proactive in anticipating customer needs.
Maintain a positive, upbeat attitude, using GIFs and emojis to add personality to your responses.
Build open, honest, and transparent relationships with both customers and colleagues.
Appreciate and leverage each team member’s strengths. Always assume positive intent.
",set()
BOOKEEPER.docx,"Bookkeeper
Requirements
We would need you to be or have the following:
2-3 experience in Bookkeeping and Administrative work such as email and calendar management and documentation
Excellent communication skills and attention to detail
",set()
BRANCH SECRETARY.JPG,"BRANCH SECRETARY
Qualifications:
¢ Willing to work at ILIGAN CITY
¢ Must be FEMALE, 25 years old or above
¢ Willing to be TRAINED and can start ASAP
¢ Willing to be transferred in DIFFERENT LOCATIONS
Send your resume to: hr.agshydraulic@gmail.com",set()
BUSINESS DEVELOPMENT ANALYST.docx,"Business Development Analyst (Nepo)

Requirements
-At least 2 year(s) of working experience in Business Development financial analysis required for this position.
-Specializing in finance, investments, banking or equivalent.
-Candidate must possess at least a Bachelor's/College Degree, Finance/Accountancy/Banking or equivalent.
-Required skill(s): Finance and Investment Analysis, Financial Modeling, Accounting, Presentation Skills, Business Acumen.
-Full-Time position(s) available.
-Same role done in the same industry is a plus.
",set()
CALL CENTER AGENT.docx,"Call center agent
Job Requirements:
SHS Graduate or High School Graduates (Old Curriculum)
No work experience required
Open to career shifters
Excellent written and verbal communication skills
Willing to start immediately
Work From Home Set Up - Home internet speed of at least 50 MBPS
Must be residing in Pangasinan

",set()
CASHIER.docx,"(Cashier/server) 
College level OR high school graduate with experienced. 
1 year experienced 
20-40 years old 
","{')', 'Ċ', 'Ġyears', '/', 'Ġ', 'Ġ(', '20', 'server', 'Ġexperienced', 'Ġyear', '40', 'Ġold', 'ĠOR', 'Ġlevel', '.', 'Ġgraduate', 'Ġwith', '1', '-'}"
CASHIER.JPG,"URGENT HIRING!
eAt least ahigh school graduate
eWith or without experience incashiering
(training willbe
provided)
e Honest, trustworthy, and
comfortable handling
cash transactions
*Ableto multitask andwork
efficiently ina fast-paced
environment
eWillingto learn and grow within
our team
Email us: newleaf.agchr@gmail.com
For walk-in applicants you can submit your
resume at 2nd Floor Dupoint Building
Cruztaal Velez St. CDOC (Between Honda &
Technomart).","{'e', '!'}"
CASHIER1.docx,"CASHIER
FEMALE
Job Type: Full-time
Qualifications
High school diploma or equivalent
Prior cashier or customer service experience is a plus
Strong basic math skills for handling transactions
Excellent communication and interpersonal skills
",set()
CASHIER2.JPG,"wa
e USE
~ OUSE C
¥ URGENT HIRING!S
' ¢ HIGH SCHOOL GRADUATE |
¢ Strong_communication and customer service skills
e Basic math and cash handling skills
e Friendly, reliable, able to handle stressful situations calmly
e AGIPESOS PER DAY.
7
fa
i
WORK LOCATION:
POBLACION 1,VILLANUEVA MISAMIS#ORIED Na f
REQUIREMENTS:
¢ Resume with 2x2 recent photo. 7 wy, 7 Pf
¢ Police clearance, Brgy. clearance: e: y)
SUBMIT AT RONI WAREHOUSE CORPORATIG
' ee AL ALS MISAMIS'ORI Sus '
i | = @ :","{'V', 'ĠH', ')', '7', 'ĠUSE', 'ĠMIS', 'x', 'ĠAL', 'Ċ', 'ĠPER', 'Ġwa', 'Ġ|', 'ĠNa', 'Ġrecent', 'Ġ@', 'Â', 'ĠUR', 'Ġ:', 'ĠR', '~', '2', 'ĠC', 'e', 'S', ',', 'gy', 'Ġy', ""Ġ'"", 'ĠWAR', 'I', 'ĠO', 'OS', 'fa', 'i', 'ĠÂ', ':', 'y', 'UE', 'ĠBr', 'Ġclearance', 'Ġf', '#', '!', 'ĠPf', 'Â¢', 'Ġe', '.', 'AN', 'VA', 'IED', 'IR', 'Ġ2', '¢', 'G', 'Ġwith', 'Ġphoto', 'Ġ7', 'Ġ1', 'ĠALS', 'Ġw', 'Ġ=', 'OR', 'IS', 'MIT', 'ĠSus', 'ENT', ""'"", 'USE', '¥', 'UB', 'ING', 'ION', 'PO', 'ĠAT'}"
CHAT SUPPORT AGENT.docx,"CHAT SUPPORT AGENT (Dayshift | Pioneer)

Key Accountabilities:


NPS/ Customer Service (40%)
• Review regularly your own Customer Service feedback and act on opportunities for improvement • Ensure a continuous focus on achieving and exceeding customer advocacy targets on interactions with all customers 
• Apply customer service best practice principles appropriately, achieving exceptional Customer Service results. 
• Provide options to members by proactively identifying opportunities to promote Health cover options, services and products. 
• Ensure your quality results are reviewed so that you can identify patterns and act on identified areas for your own development. 
• Record any skilling gaps appropriately in your performance development/action plans allowing coaching and support to be provided in those areas 


Operational Effectiveness (20%)
• Actively engage, participate and contribute to team and a collaborative based programs/ projects/ activities/ incentives/ improvement initiatives. 
• Deliver continuous improvement in achieving performance excellence and operational efficiencies in all areas of work. 
• Ensure that you keep up to date on all relevant business information and news to ensure you understand overall business objectives and programs of work. 
• Awareness of all risk and compliance obligations and completion of all assigned compliance training modules, policies, guidelines and legal frameworks required in your role. 


Customer Opportunities (30%)
• Proactively Identify opportunities and triggers to undertake effective cover reviews in order to add value during interactions and retain members. 
• Use effective questions to undertake needs based analysis approach to uncover current and future need and recommend appropriate cover changes and/ or additions. 


Member Availability (10%) 
• Adherence to roster. Take breaks on time and return promptly. 
• Adherence to shift start times. Turn up on time for the correct shift. 
• Check schedules regularly so that you are aware of any changes to your roster well in advance.
• Ensure you are using the correct soft phone states during the duration of your shift. 
• Use allocated off phone time efficiently if/when required, to effectively resolve members query
","{'Ġor', 'ĠUse', 'Ġso', 'iencies', 'Ġensure', 'ĠEnsure', 'Ġsupport', 'Ġon', 'Ġrecommend', 'Ġappropriate', 'Ġto', 'Ġbusiness', '/', 'Ġneeds', 'ively', 'Ġachieving', 'Ġthat', 'Ġareas', 'Ġretain', 'Ġuncover', 'Ġyour', 'Ġcollaborative', 'Ġresults', 'Ġeffective', 'Ġcustomer', 'Ġduring', 'Ġchanges', 'ĠReview', 'Ġservices', 'Ġallowing', 'Ġoptions', 'Ġif', 'Ġfeedback', 'Ġkeep', 'Ġof', 'Ġrequired', 'Ġaware', 'Ġup', 'Ġprojects', 'Ġare', 'Ġcan', 'Ġcorrect', 'Ġreviewed', 'Ġresolve', 'Ġunderstand', 'Ġfuture', 'Ġand', 'Ġeffic', 'Ġengage', 'illing', 'Ġprovided', 'Ġapproach', 'Ġa', 'Ġmodules', 'Ġown', 'Ġidentifying', 'Ġbest', 'Ġneed', 'Ġregularly', 'Ġproducts', 'Ġopportunities', 'Ġparticipate', 'Ġyou', 'Ġbased', 'Ġtriggers', 'Ġcover', 'Ġeffectively', 'Ġpro', 'Ġadditions', 'Ġperformance', 'Ġcurrent', 'Ġadd', 'ĠIdent', 'Ġcoaching', 'Ġorder', 'Ġtargets', 'Ġin', 'Ġfocus', 'when', 'Ġcompletion', 'Ġquestions', 'actively', 'Ġundertake', 'Ġoverall', 'Ġrole', 'Ġplans', 'Ġappropriately', 'Ġexceeding', 'Ġprinciples', 'Ġidentify', 'ĠProvide', 'Ġcontribute', 'Ġinitiatives', 'ĠRecord', 'Ġexceptional', 'Ġsk', 'Ġrelevant', 'Ġvalue', 'Ġany', 'Ġdate', 'Ġcustomers', 'Ġall', 'Ġimprovement', 'Ġexcellence', 'Ġservice', 'Ġoperational', 'Ġmembers', 'Ġreviews', 'ĠDeliver', 'ĠHealth', 'Ġidentified', 'Ġgaps', 'Ġobjectives', 'Ġbe', 'ĠPro', 'Ġcontinuous', 'Ġact', 'Ġthose', 'Ġobligations', ',', 'ify', 'Ġwork', 'Ġusing', 'Ġteam', 'ĠApply', 'Ġadvocacy', 'Ġwith', 'Ġassigned', 'Ġroster', 'Ġquery', 'Ġby', 'Ġfor', 'Ġcompliance', 'Customer', 'Ġpromote', 'Ġdevelopment', 'Ġinteractions', 'Ġanalysis', 'Ġprograms'}"
CHECKOUT CHECKER.JPG,"WE ARE ""4 =:
HIRING! |
> Check-out Checker
Job Qualifications:
+ College Graduate / Degree Holder
+ Background in Inventory, Warehousing and
Encoding entry
* Preferably MALE
* Minimum experience in job related function
* Knowledgeable in receipt inspection,
storage, and management of stocks
@OO6 triumphhomedepot | aay
www.triumphhomedepot.com","{'@', 'ĠWE', 'ĠARE', '>', ':', 'Ġ""', 'H', '4', '!', 'www', 'ay', '.', 'Ċ', 'Ġ|', 'Ġ=', 'Ġa'}"
CLAIMS-IN-CHARGE.jpg,"7[~ \ \\ )\
Con
NIVE
- - POSITIONS:
a
wm ClaimsIn-charge 1 oo 6
Stee Te-Va VAL _
¢ Graduate of any 4-years course. _—
¢ Male or Female, and of legal age
¢ Computer Literate
¢ Proficient in MS Office Applications
¢ Knowledgeable in QuickBooks
¢ Good communication and interpersonal skills
¢ Highly motivated, and capable in working under
Pelee es
You may call this number:
09190854623
09944839845","{'IVE', 'Ġ\\', 'Va', 'o', 'Ċ', '08', 'wm', 'ĠTe', 'lee', 'Ġnumber', 'Ġo', '~', 'âĢĶ', '99', 'e', 'N', '0', '[', 'Ġ-', ':', '09', 'Con', 'Ġ6', 'Ġes', 'Ġmay', 'Â¢', 'ĠVAL', 'Ġ\\\\', 'Ġ_', 'Ġ7', 'a', '19', '45', 'Ġ)', 'Ġ1', 'IONS', '23', 'Pe', '\\', '448', 'Ġthis', 'ĠPOS', '546', 'You', 'Ste', '398', '-'}"
CLIENT PARTNER PHILIPPINES.docx,"Client Partner Philippines (Contract)

About the job
We are looking for a Client Partner to join our Advertising Sales team to manage our sales initiatives in the Philippines.


We want someone who loves our product and wakes up every morning happy to interact with our clients. You should be confident without ever being arrogant. You work hard, but know how to have fun. You should also exhibit a growth mindset that can rise above any challenges. Most importantly, your work will impact the way brands connect with the Spotify users!


This is a 12 month fixed term contract role based in Manila, Philippines, reporting to the Director of Sales based in Singapore.


What You'll Do
Focus on brand promotion, educating and inspiring our clients to use Spotify to enhance their business
Promote display advertising (video, mobile, programmatic), audio formats, and other ad space in order to support the advertising business by building, sustaining and growing a dedicated book of business with media agencies, creative agencies and clients directly
Work across multiple agency departments, i.e. programmatic, offline and digital, branded content and innovation teams, to assist with delivering successful and effective campaigns
Monitor and execute potential upsell opportunities
Partner with internal marketing, brand partnerships, and label relations teams to maximize earnings for Spotify and our partners
Conduct industry analysis and preparing relevant promotion and customers materials
Respond to RFPs and deliver extraordinary media proposals
Work with Account and Campaign Management team to monitor campaign performance, recommend optimisations, and support campaign delivery
Represent Spotify at promotional events
Diligent in managing all activity using salesforce.com on a regular basis and reporting your patch of business


Who You Are
Diploma or Bachelor’s Degree, preferably in Advertising, Business, Communications or Marketing
A minimum of 5+ years of experience in either media agency, media owner/publisher, client management or sales role
You have a strong knowledge of the Philippines digital media marketplace and the existing relationship with all levels of the agencies; direct brands will be a major plus point
Knowledge of online and offline media planning and buying ecosystem including programmatic advertising and have the ability to be creative with audio and digital client solutions
You are obsessed with customer satisfaction with a proven track record to build internal and external relationships
Ability to deliver on multiple priorities with attention to detail despite tight deadlines
Analytical with a consistent record to think strategically and creatively
You have dexterity in creating reports and presentations using Excel, PowerPoint and Keynote; experience of Salesforce, DSM and DFP is a plus
A strong team player, smart, adapts well with change and has a positive attitude
You have strong negotiation skills and are able present effectively and close the deal
You are able to work in a fast-paced, exciting environment and across external and internal teams to deliver creative, fresh campaigns.
Proficiency in English & Tagalog (written & spoken)
","{'Ġdelivery', 's', 'Ġway', 'Ġspace', 'Ġorder', 'Ġbrands', 'Ġgrowing', '),', 'Ġsupport', 'Ċ', 'Ġin', 'Ġrecommend', 'Ġto', 'Ġbusiness', 'Ġa', 'Ġdedicated', 'Ġpromotion', 'Ġpartners', 'Ġtheir', 'Ġdelivering', 'Ġoptim', 'ote', 'Ġmonitor', 'Ġexecute', 'Ġpreparing', 'Ġinspiring', ',', 'Ġmaterials', 'Ġcampaign', 'Ġbuilding', 'sell', 'Ġuse', 'Ġsustaining', 'Ġmaximize', 'Ġbrand', 'Ġopportunities', 'Ġinitiatives', 'Ġdirectly', 'isations', 'Ġpotential', 'Ġwith', 'Ġclients', 'Ġby', 'Ġup', 'Ġrelevant', 'Ġdepartments', 'Ġenhance', 'Ġperformance', 'Ġassist', 'Ġcustomers', 'Ġmanage', 'Ġthe', 'Ġdeliver', 'Ġeducating'}"
CLOUD SUPPORT ENGINEER.docx,"Cloud Support Engineer

Collaborate with engineering teams to evaluate and identify optimal cloud configurations and solutions
Design, develop, and deploy modular cloud-based systems and services
Ensure efficient functioning of data storage, processing, interconnectivity, and security in the cloud
Identify, analyze, and resolve infrastructure vulnerabilities and application deployment issues
Regularly review existing systems and make recommendations for improvements
Educate teams on the implementation of new cloud technologies and initiatives
Establish monitoring, maintain the same, and monitor for issues
Provide cloud support and make recommendations based on client needs
Implement and manage AWS cost optimization strategies
Automate cloud operations with robust notification and escalation processes
Ensure compliance with AWS security best practices and conduct regular security reviews


Skills Required:


Must have skills
Minimum of 3 years of experience as a Cloud Engineer or in a similar role
Proficiency in AWS, with relevant certifications preferred
Strong programming and scripting skills in languages like Python, Go, or Bash
Experience with infrastructure as code tools like Terraform or CloudFormation
Knowledge of containerization technologies like Docker and orchestration platforms such as Kubernetes
Understanding of cloud security best practices and ability to implement security controls
Excellent troubleshooting and problem-solving skills
Superior communication and collaboration skills to work effectively with cross-functional teams
Ability to mentor and guide more junior colleagues and others


Nice to have skills
AWS Cost Management and Optimization: Expertise in managing and optimizing AWS costs, including cost monitoring, resource allocation, and implementing cost-saving measures to achieve year-over-year cost reductions.
Automation and Scripting: Proficiency in automating cloud operations with full notifications and escalations using tools like AWS Lambda, CloudWatch, and other AWS automation services to enhance efficiency and reliability.
AWS Security and Compliance: In-depth knowledge of AWS security best practices, including identity and access management (IAM), encryption, and compliance frameworks to ensure robust cloud security and data protection.
","{'Ġcosts', 'Ġenhance', 'sure', 'Ġcost', 'Ġensure', 'Ġsolutions', 'Ġoptimal', 'Ġresolve', 'Ġevaluate', 'Ġmaintain', 'Ġon', 'Ġmanage', 'Ġsame', 'Ġthe', 'Ġrecommendations', 'Ġachieve', 'Ġidentify'}"
