filename,extracted_raw_text,preprocessed_text,entities,best_match_score,best_match_job_index
AUTOMATION TEST ENGINEER.docx,"Automation Test Engineer
• Degree in Computer Science, Business, Economics or equivalent work experience
• At least 3 years of automation testing experience.
• Experience in both manual and automated testing including planning, test case design, test reporting, defect tracking, estimating and test coverage.
• Experience working with external parties & vendors
• Demonstrated capability to learn and understand a business and its processes and systems in depth
• Experience with automated testing tool Playwright as well as other tools (e.g. Selenium, Java, Maven, & Postman)
• Demonstrated skills with REST and SOAP webservices, & API testing
• Familiarity with Azure DevOps Pipelines and parallel test execution
• Experience testing web, mobile and windows applications
• Ability to work across multiple products / platforms / squads
• Agile methodologies
• Regular use of a defect and test management system such as JIRA, Confluence & SharePoint
",automation test engineer degree computer science business economics equivalent work experience least three year automation testing experience experience manual automated testing including planning test case design test reporting defect tracking estimating test coverage experience working external party vendor demonstrated capability learn understand business process system depth experience automated testing tool playwright well tool eg selenium java maven postman demonstrated skill rest soap webservices api testing familiarity azure devops pipeline parallel test execution experience testing web mobile window application ability work across multiple product platform squad agile methodology regular use defect test management system jira confluence sharepoint,set(),1.0000006,153
BAKER.JPG,"URGENT HIRING!
e Highschool graduate or related course
isaplus but not required.
e Willing to be trained and know the
basics of foodhandling.
e Can work independently.
e Can do multi-tasking and willing to be
trained.
Email us: newleaf.agchr@gmail.com
For walk-in applicants you can submit your
resume at 2nd Floor Dupoint Building
Cruztaal Velez St. CDOC (Between Honda
& Technomart).",urgent hiring e highschool graduate related course isaplus required e willing trained know basic foodhandling e work independently e multitasking willing trained email u newleafagchrgmailcom walkin applicant submit resume 2nd floor dupoint building cruztaal velez st cdoc honda technomart,"{'Ġis', 'om', 'Ġemail', 'Ġnew', 'Ġve', 'al', 'Ġc', 'in', 'gmail', 'Ġtechn', 'Ġwalk', 'com', 'doc', 'Ġdup', 'leaf', 'oint', 'Ġapplicant', 'Ġcru', 'Ġst', 'Ġe', 'art', 'plus', 'onda', 'r', 'ta', 'Ġrequired', 'Ġu', 'lez', 'Ġh', 'ag', 'Ġsubmit', 'ch', 'a', 'Ġurgent', 'z'}",1.0000001,11
BARISTA.png,"Mat aU hihi ay
7 C)
i A IS 4
| % oy I
= Z) » ( s a)
S LO
Cj We are Hiring D
S . la
Starbucks Robinsons Place Malolos
P {| Ground floor Robinsons Place, Mac Arthur Highway Malolos, ? 4
Bulacan Ca
Ss Mel aihiela eM man eaten ams LO
p 4 Seanonal Barista: , 4
L)
v For Full Time positions: Candidate must possess at least a Bachelor's/College Degree in any
bills)
el > PeEEIG uO pe AIEERR CRI RANCHO eneEI TT eREECENET COMEDIC i
Nae en nS Tal Ladle Mba Lae MMT h MEM ae aeTe Rem l UL ai TeLe
required
q UEC ee lelcmCenteTeo 12 = Y
Kindly send your updated resume with a photo at Cc)
/ starbucks.malolos@gmail.com \
OJ L)
5 QPRHAF C)
Loe \ Ds I SS! is",mat au hihi ay seven c four oy z lo cj hiring la starbucks robinson place malolos p ground floor robinson place mac arthur highway malolos four bulacan ca s mel aihiela em man eaten am lo p four seanonal barista four l v full time position candidate must possess least bachelorscollege degree bill el peeeig uo pe aieerr cri rancho eneei tt ereecenet comedic nae en n tal ladle mba lae mmt h mem ae aete rem l ul ai tele required q uec ee lelcmcenteteo twelve kindly send updated resume photo cc starbucksmalolosgmailcom oj l five qprhaf c loe d s,"{'ol', 'Ġkindly', 'Ġca', 'Ġhighway', 'Ġt', 'ee', 'ih', 'Ġoy', 'onal', 'Ġcandidate', 'Ġau', 'Ġb', 'Ġman', 'ie', 'af', 'Ġo', 'acan', 'Ġrequired', 'thur', 'Ġground', 'Ġz', 'cm', 'h', 'Ġh', 'Ġp', 'j', 'ig', 'Ġupdated', 'ri', 'Ġfloor', 'Ġmal', 'Ġmac', 'Ġplace', 'Ġem', 'Ġtele', 'o', 'ba', 'os', 'pr', 'achel', 'Ġrob', 't', 'l', 'Ġresume', 'Ġen', 'e', 'Ġmat', 'an', 'Ġq', 'Ġar', 'Ġeaten', 'c', 'Ġrem', 'Ġcomedic', 'Ġhiring', 'inson', 'Ġbar', 'Ġtal', 'le', 'Ġam', 'Ġbul', 'err', 'Ġtwelve', 'gmail', 'ae', 'Ġcc', 'Ġfour', 'bucks', 'iel', 'Ġpe', 'Ġe', 'Ġa', 'en', 'Ġranch', 'Ġul', 'Ġbill', 'et', 'Ġmust', 'i', 'Ġsend', 'Ġv', 'Ġleast', 'Ġstar', 'Ġlo', 'mal', 'ete', 'Ġd', 'ree', 'Ġseven', 'Ġfive', 'Ġay', 'Ġc', 'Ġphoto', 'Ġl', 'Ġn', 'com', 'Ġs', 'Ġpossess', 'Ġla', 'ista', 'ec', 'Ġu', 'Ġm', 'Ġmm', 'Ġse', 'Ġel', 'Ġmem', 'cent', 'college', 'a', 'Ġle', 'Ġlad', 'Ġmel'}",0.9999997,12
BARISTA2.JPG,"Hi @ (/
Kitchen Staff, Barista, and Delivery Rider

« MUST BE 20 YEARS OLD AND ABOVE

« WILLING TO WORK A FULL TIME JOB

¢ WILLING TO BE TRAINED

« FAST LEARNER AND HAS GOOD COMMUNICATION SKILLS

* COMPUTER LITERACY IS AN ADVANTAGE

« DRIVER LICENSE IS AN ADVANTAGE

e« WITH FRIENDLY PERSONALITY

Apply Now

send your resume to our Gmail: or bring your resume personally
baofeicafe@gmail.com to our Tagoloan Branch",hi kitchen staff barista delivery rider must twenty year old willing work full time job willing trained fast learner good communication skill computer literacy advantage driver license advantage e friendly personality apply send resume gmail bring resume personally baofeicafegmailcom tagoloan branch,"{'Ġpersonally', 'af', 'an', 'Ġtag', 'Ġbranch', 'com', 'Ġsend', 'ic', 'Ġresume', 'eg', 'e', 'of', 'olo', 'Ġg', 'mail', 'Ġbring', 'Ġba'}",1.0000004,13
BILIGUAL SPEAKER.docx,"Bilingual Speaker (German & English) Customer Support Specialist
Job Requirement:
Fluency in both German and English is a MUST – Please DO NOT apply if you are not proficient in German.
Strong verbal and written communication skills in both German and English.
Ability to understand, interpret, and clarify customer goals, providing thoughtful and helpful responses.
Ensure customers are treated with respect and kindness, as we would expect for ourselves. Be mindful of everyone’s time, deliver exceptional service, and always bring a sense of fun, creativity, and open-mindedness to your work.
Continuously seek growth and learning opportunities. Embrace and drive positive change.
Strong problem-solving skills – evaluate all options thoroughly before making decisions.
Excellent organizational skills and attention to detail.
Be proactive in anticipating customer needs.
Maintain a positive, upbeat attitude, using GIFs and emojis to add personality to your responses.
Build open, honest, and transparent relationships with both customers and colleagues.
Appreciate and leverage each team member’s strengths. Always assume positive intent.
",bilingual speaker german english customer support specialist job requirement fluency german english must please apply proficient german strong verbal written communication skill german english ability understand interpret clarify customer goal providing thoughtful helpful response ensure customer treated respect kindness would expect mindful everyones time deliver exceptional service always bring sense fun creativity openmindedness work continuously seek growth learning opportunity embrace drive positive change strong problemsolving skill evaluate option thoroughly making decision excellent organizational skill attention detail proactive anticipating customer need maintain positive upbeat attitude using gifs emojis add personality response build open honest transparent relationship customer colleague appreciate leverage team member strength always assume positive intent,set(),1.0000004,3
BOOKEEPER.docx,"Bookkeeper
Requirements
We would need you to be or have the following:
2-3 experience in Bookkeeping and Administrative work such as email and calendar management and documentation
Excellent communication skills and attention to detail
",bookkeeper requirement would need following 23 experience bookkeeping administrative work email calendar management documentation excellent communication skill attention detail,set(),1.0000004,3
BRANCH SECRETARY.JPG,"BRANCH SECRETARY
Qualifications:
¢ Willing to work at ILIGAN CITY
¢ Must be FEMALE, 25 years old or above
¢ Willing to be TRAINED and can start ASAP
¢ Willing to be transferred in DIFFERENT LOCATIONS
Send your resume to: hr.agshydraulic@gmail.com",branch secretary qualification willing work iligan city must female twentyfive year old willing trained start asap willing transferred different location send resume hragshydraulicgmailcom,"{'ra', 'Ġtwenty', 'Ġtrained', 'ulic', 'five', 'Ġas', 'Ġfemale', 'gmail', 'Ġold', 'ap', 'yd', 'Ġbranch', 'com', 'Ġtransferred', 'Ġil', 'rag', 'igan', 'Ġwilling', 'Ġqualification', 'Ġresume', 'Ġsecretary', 'Ġh', 'Ġwork', 'Ġmust', 'Ġyear', 'sh', 'Ġsend', 'Ġdifferent', 'Ġcity', 'Ġstart', 'Ġlocation'}",0.9999996,16
BUSINESS DEVELOPMENT ANALYST.docx,"Business Development Analyst (Nepo)

Requirements
-At least 2 year(s) of working experience in Business Development financial analysis required for this position.
-Specializing in finance, investments, banking or equivalent.
-Candidate must possess at least a Bachelor's/College Degree, Finance/Accountancy/Banking or equivalent.
-Required skill(s): Finance and Investment Analysis, Financial Modeling, Accounting, Presentation Skills, Business Acumen.
-Full-Time position(s) available.
-Same role done in the same industry is a plus.
",business development analyst nepo requirement least two year working experience business development financial analysis required position specializing finance investment banking equivalent candidate must possess least bachelorscollege degree financeaccountancybanking equivalent required skill finance investment analysis financial modeling accounting presentation skill business acumen fulltime position available role done industry plus,set(),1.0000004,3
CALL CENTER AGENT.docx,"Call center agent
Job Requirements:
SHS Graduate or High School Graduates (Old Curriculum)
No work experience required
Open to career shifters
Excellent written and verbal communication skills
Willing to start immediately
Work From Home Set Up - Home internet speed of at least 50 MBPS
Must be residing in Pangasinan

",call center agent job requirement shs graduate high school graduate old curriculum work experience required open career shifter excellent written verbal communication skill willing start immediately work home set home internet speed least fifty mbps must residing pangasinan,"{'bps', 'Ġrequirement', 'Ġimmediately', 'ter', 'Ġresiding', 'Ġfifty', 'Ġhome', 'Ġrequired', 'Ġset', 'Ġwilling', 'Ġm', 'Ġgraduate', 'an', 'Ġwork', 'Ġmust', 's', 'Ġstart', 'Ġleast', 'Ġsh'}",1.0000005,18
CASHIER.docx,"(Cashier/server) 
College level OR high school graduate with experienced. 
1 year experienced 
20-40 years old 
",cashierserver college level high school graduate experienced one year experienced 2040 year old,"{'Ġold', 'Ġone', 'Ġyear', 'erver', '40', 'Ġlevel', 'Ġexperienced', 'Ġcollege', 'Ġcash', 'Ġgraduate', 'Ġhigh', 'Ġschool', 'iers', 'Ġ20'}",0.99999994,19
CASHIER.JPG,"URGENT HIRING!
eAt least ahigh school graduate
eWith or without experience incashiering
(training willbe
provided)
e Honest, trustworthy, and
comfortable handling
cash transactions
*Ableto multitask andwork
efficiently ina fast-paced
environment
eWillingto learn and grow within
our team
Email us: newleaf.agchr@gmail.com
For walk-in applicants you can submit your
resume at 2nd Floor Dupoint Building
Cruztaal Velez St. CDOC (Between Honda &
Technomart).",urgent hiring eat least ahigh school graduate ewith without experience incashiering training willbe provided e honest trustworthy comfortable handling cash transaction ableto multitask andwork efficiently ina fastpaced environment ewillingto learn grow within team email u newleafagchrgmailcom walkin applicant submit resume 2nd floor dupoint building cruztaal velez st cdoc honda technomart,"{'om', 'Ġve', 'Ġnew', 'Ġc', 'al', 'Ġtechn', 'doc', 'Ġeat', 'Ġcru', 'Ġst', 'Ġe', 'art', 'onda', 'r', 'ta', 'Ġu', 'lez', 'Ġh', 'z', 'Ġleast'}",0.99999994,20
CASHIER1.docx,"CASHIER
FEMALE
Job Type: Full-time
Qualifications
High school diploma or equivalent
Prior cashier or customer service experience is a plus
Strong basic math skills for handling transactions
Excellent communication and interpersonal skills
",cashier female job type fulltime qualification high school diploma equivalent prior cashier customer service experience plus strong basic math skill handling transaction excellent communication interpersonal skill,set(),1.0000004,3
CASHIER2.JPG,"wa
e USE
~ OUSE C
¥ URGENT HIRING!S
' ¢ HIGH SCHOOL GRADUATE |
¢ Strong_communication and customer service skills
e Basic math and cash handling skills
e Friendly, reliable, able to handle stressful situations calmly
e AGIPESOS PER DAY.
7
fa
i
WORK LOCATION:
POBLACION 1,VILLANUEVA MISAMIS#ORIED Na f
REQUIREMENTS:
¢ Resume with 2x2 recent photo. 7 wy, 7 Pf
¢ Police clearance, Brgy. clearance: e: y)
SUBMIT AT RONI WAREHOUSE CORPORATIG
' ee AL ALS MISAMIS'ORI Sus '
i | = @ :",wa e use ouse c urgent hirings high school graduate strongcommunication customer service skill e basic math cash handling skill e friendly reliable able handle stressful situation calmly e agipesos per day seven fa work location poblacion 1villanueva misamisoried na f requirement resume 2x2 recent photo seven wy seven pf police clearance brgy clearance e submit roni warehouse corporatig ee al al misamisori sus,"{'ir', 'Ġseven', 'Ġsus', 'Ġf', 'Ġmis', 'Ġwarehouse', 'Ġc', 'Ġbr', 'Ġphoto', '2', 'Ġw', 'ings', 'Ġag', 'x', 'Ġe', 'Ġ1', 'Ġwa', 'Ġo', 'oried', 'e', 'Ġ2', 'oni', 'ori', 'f', 'Ġh', 'Ġrecent', 'Ġp', 'Ġr', 'Ġuse', 'ig', 'Ġsubmit', 'Ġfa', 'use', 'Ġna', 'gy', 'y', 'Ġal'}",0.99999976,22
CHAT SUPPORT AGENT.docx,"CHAT SUPPORT AGENT (Dayshift | Pioneer)

Key Accountabilities:


NPS/ Customer Service (40%)
• Review regularly your own Customer Service feedback and act on opportunities for improvement • Ensure a continuous focus on achieving and exceeding customer advocacy targets on interactions with all customers 
• Apply customer service best practice principles appropriately, achieving exceptional Customer Service results. 
• Provide options to members by proactively identifying opportunities to promote Health cover options, services and products. 
• Ensure your quality results are reviewed so that you can identify patterns and act on identified areas for your own development. 
• Record any skilling gaps appropriately in your performance development/action plans allowing coaching and support to be provided in those areas 


Operational Effectiveness (20%)
• Actively engage, participate and contribute to team and a collaborative based programs/ projects/ activities/ incentives/ improvement initiatives. 
• Deliver continuous improvement in achieving performance excellence and operational efficiencies in all areas of work. 
• Ensure that you keep up to date on all relevant business information and news to ensure you understand overall business objectives and programs of work. 
• Awareness of all risk and compliance obligations and completion of all assigned compliance training modules, policies, guidelines and legal frameworks required in your role. 


Customer Opportunities (30%)
• Proactively Identify opportunities and triggers to undertake effective cover reviews in order to add value during interactions and retain members. 
• Use effective questions to undertake needs based analysis approach to uncover current and future need and recommend appropriate cover changes and/ or additions. 


Member Availability (10%) 
• Adherence to roster. Take breaks on time and return promptly. 
• Adherence to shift start times. Turn up on time for the correct shift. 
• Check schedules regularly so that you are aware of any changes to your roster well in advance.
• Ensure you are using the correct soft phone states during the duration of your shift. 
• Use allocated off phone time efficiently if/when required, to effectively resolve members query
",chat support agent dayshift pioneer key accountability np customer service 40 review regularly customer service feedback act opportunity improvement ensure continuous focus achieving exceeding customer advocacy target interaction customer apply customer service best practice principle appropriately achieving exceptional customer service result provide option member proactively identifying opportunity promote health cover option service product ensure quality result reviewed identify pattern act identified area development record skilling gap appropriately performance developmentaction plan allowing coaching support provided area operational effectiveness 20 actively engage participate contribute team collaborative based program project activity incentive improvement initiative deliver continuous improvement achieving performance excellence operational efficiency area work ensure keep date relevant business information news ensure understand overall business objective program work awareness risk compliance obligation completion assigned compliance training module policy guideline legal framework required role customer opportunity 30 proactively identify opportunity trigger undertake effective cover review order add value interaction retain member use effective question undertake need based analysis approach uncover current future need recommend appropriate cover change addition member availability 10 adherence roster take break time return promptly adherence shift start time turn time correct shift check schedule regularly aware change roster well advance ensure using correct soft phone state duration shift use allocated phone time efficiently ifwhen required effectively resolve member query,{'Ġensure'},0.9999999,23
