predicted_job_title,best_match_score
TELESALES REPRESENTATIVE,0.852339
PRODUCTION HELPER,0.95679355
VERIFICATION SPECIALIST,1.0000004
AREA SUPERVISOR,0.9506214
SALES REPRENSETATIVE,0.79519355
FEMALE OFFICE STAFF,0.8978498
OFFICE STAFF,0.9408235
SALES REPRESENTATIVE,0.94088316
PART-TIME-BARISTA,0.9484608
TELESALES REPRESENTATIVE,0.90230584
PASSENGER SERVICE AGENT,0.7889008
AREA SUPERVISOR,0.90902084
SALESMAN,0.94015735
AREA SUPERVISOR,0.94788635
FOOD PREPARATION,0.9373459
CREDIT & COLLECTION STAFF,0.8890628
EXTRUCT SALESMAN,0.95020705
FEMALE OFFICE STAFF,0.864416
COMPLIANCE OFFICE,0.8668337
HR STAFF,0.8599455
AREA SUPERVISOR,0.9515264
BRANCH SECRETARY,0.9129148
TRUCK HELPER,0.7048383
JAPANESE BILIGUAL,0.91479737
PRODUCTION HELPER,0.9424304
OFFICE STAFF,0.95300204
DRIVER SALESMAN,0.94285387
MANDARIN BILINGUAL,0.851607
OPERATIONS MANAGER,0.8421138
BRANCH SECRETARY,0.88832974
BRANCH SECRETARY,0.92417854
JAPANESE BILIGUAL,0.9488787
PRODUCTION HELPER,0.9367486
VERIFICATION SPECIALIST,1.0000004
PASSENGER SERVICE AGENT,0.78767085
JAPANESE BILIGUAL,0.95030665
PRODUCTION HELPER,0.9450333
SPANISH BILINGUAL,0.9578038
CASHIER,0.9343694
OFFICE STAFF,0.95913714
SALES SERVICE DEVELOPER,0.9260267
COMPLIANCE OFFICE,0.8119148
HR STAFF,0.7367815
TRUCK HELPER,0.79278076
VIETNAMESE BILINGUAL,0.9351916
CREDIT & COLLECTION STAFF,0.8652866
MANDARIN BILINGUAL,0.8317059
RETAILS STORE SPECIALIST,0.75851446
PRODUCTION HELPER,0.9108433
OFFICE STAFF,0.9415966
TELESALES REPRESENTATIVE,0.88482106
SERVICE CREW,0.9080082
MANDARIN BILINGUAL,0.8753875
MANDARIN BILINGUAL,0.83641493
SALESMAN ,0.5370715
VERIFICATION SPECIALIST,1.0000004
OFFICE STAFF,0.94952536
JAPANESE BILIGUAL,0.9472828
JAPANESE BILIGUAL,0.94280803
WAREHOUSE PRODUCTION STAFF,0.90834045
TELESALES REPRESENTATIVE,0.86100084
MALE SERVICE STAFF,0.9116057
PRODUCTION HELPER,0.93100387
HR RECRUITER,0.94832397
TRUCK HELPER,0.87818646
COMPLIANCE OFFICE,0.845461
PRODUCTION HELPER,0.9397334
SALES SERVICE DEVELOPER,0.9574064
PRODUCTION HELPER,0.94723934
SALES SERVICE DEVELOPER,0.9512773
TRUCK HELPER,0.79278076
ACCOUNTING HEAD,0.93981767
CREDIT & COLLECTION STAFF,0.8621695
BRANCH SECRETARY,0.8939298
COMPLIANCE OFFICE,0.8119148
OFFICE STAFF,0.95789456
TELESALES REPRESENTATIVE,0.8651413
OFFICE STAFF,0.958032
PRODUCTION HELPER,0.9441027
SALES SUPERVISOR,0.90721965
SALES SERVICE DEVELOPER,0.89692074
COMPLIANCE OFFICE,0.8492988
SALES REPRESENTATIVE,0.8775029
PRODUCTION HELPER,0.93814486
SALES SERVICE DEVELOPER,0.94099313
PRODUCTION HELPER,0.93814486
JAPANESE BILIGUAL,0.9336652
PRODUCTION HELPER,0.93517464
BAKER,0.8515345
OPERATIONS MANAGER,0.87666416
JAPANESE BILIGUAL,0.950919
BRANCH SECRETARY,0.86380017
TRADE MARKETING OFFICER,0.9241575
PRODUCTION HELPER,0.9486789
MANDARIN BILINGUAL,0.76110977
JAPANESE BILIGUAL,0.93192816
OFFICE STAFF,0.94287175
JAPANESE BILINGUAL,0.92949814
TELESALES REPRESENTATIVE,0.91098076
PRODUCTION HELPER,0.94378805
OFFICE STAFF,0.9578159
HR RECRUITER,0.9422175
JAPANESE BILINGUAL,0.9206775
SALES REPRESENTATIVE,0.8826867
VERIFICATION SPECIALIST,1.0000004
ACCOUNTING HEAD,0.91483694
OFFICE STAFF,0.9273133
VERIFICATION SPECIALIST,1.0000004
DRIVER SALESMAN,0.9517691
JAPANESE BILIGUAL,0.9291047
VERIFICATION SPECIALIST,1.0000004
CREDIT & COLLECTION STAFF,0.8503174
COMPLIANCE OFFICE,0.88352096
BRANCH SECRETARY,0.9158422
MANDARIN BILINGUAL,0.785099
OFFICE STAFF,0.9489803
SALES SERVICE DEVELOPER,0.93360543
OPERATIONS MANAGER,0.8182418
SERVICE CREW,0.868624
DRIVER SALESMAN,0.92918724
TELESALES REPRESENTATIVE,0.81666255
PRODUCTION HELPER,0.9472228
OFFICE STAFF,0.9368424
HR STAFF,0.8947012
UTILIFT STAFF,0.94674605
PRODUCTION HELPER,0.9408211
MANDARIN BILINGUAL,0.76918256
ACCOUNTS SPECIALIST,0.86572003
CHAT SUPPORT AGENT,0.9999999
TELESALES REPRESENTATIVE,0.8156554
BRANCH SECRETARY,0.89454556
OFFICE STAFF,0.9336958
OFFICE STAFF,0.9336958
SALESMAN,0.93925405
PRODUCTION HELPER,0.9486811
SALESMAN,0.93925405
SERVICE CREW,0.91720045
SERVICE CREW,0.8691596
SALES SUPERVISOR,0.9184549
UTILIFT STAFF,0.94806683
TELESALES REPRESENTATIVE,0.88505983
PRODUCTION HELPER,0.9525344
SALES SERVICE DEVELOPER,0.9092162
JAPANESE BILIGUAL,0.9222972
JAPANESE BILIGUAL,0.94696563
SPANISH BILINGUAL,0.9478888
SPANISH BILINGUAL,0.9575258
COMPLIANCE OFFICE,0.8064369
PRODUCTION HELPER,0.92418206
OPERATIONS MANAGER,0.81897837
MANDARIN BILINGUAL,0.8073845
SALES SERVICE DEVELOPER,0.9064909
SERVICE CREW,0.8669956
TRUCK HELPER,0.87987936
OPERATIONS MANAGER,0.8748895
ACCOUNTING HEAD,0.92643577
TELESALES REPRESENTATIVE,0.84875834
CLAIMS-IN-CHARGE,0.9341314
SALES SERVICE DEVELOPER,0.9500922
SALES SERVICE DEVELOPER,0.8979205
MANDARIN BILINGUAL,0.80000037
TELESALES REPRESENTATIVE,0.84152347
HR RECRUITER,0.93053716
HR RECRUITER,0.9387182
SALESMAN,0.9372607
VIETNAMESE BILINGUAL,0.9349126
MANDARIN BILINGUAL,0.86546326
BRANCH SECRETARY,0.91803473
BAKER,0.8333106
SALES SUPERVISOR,0.91518974
TRUCK HELPER,0.89308417
SALESMAN,0.945093
SALES SERVICE DEVELOPER,0.92130333
OFFICE STAFF,0.9587586
OFFICE STAFF,0.95234007
MANDARIN BILINGUAL,0.6367729
SALES SERVICE DEVELOPER,0.92390656
ACCOUNTS SPECIALIST,0.8448383
SALES SERVICE DEVELOPER,0.95227796
MANDARIN BILINGUAL,0.654421
JAPANESE BILIGUAL,0.8951166
OFFICE STAFF,0.9254539
TRUCK HELPER,0.8717084
SERVICE CREW,0.8695172
BARISTA,0.9510789
JAPANESE BILIGUAL,0.9289387
JAPANESE BILIGUAL,0.9203426
AREA SUPERVISOR,0.9026996
AREA SUPERVISOR,0.94698477
TELESALES REPRESENTATIVE,0.8483766
HR RECRUITER,0.9540846
VERIFICATION SPECIALIST,1.0000004
PRODUCTION HELPER,0.92857945
PRODUCTION HELPER,0.93185246
TRUCK HELPER,0.87310475
LAUNDRY ATTENDANT,0.54138565
TELESALES REPRESENTATIVE,0.8320557
MANDARIN BILINGUAL,0.8463239
BARISTA,0.82073855
VERIFICATION SPECIALIST,1.0000004
MANDARIN BILINGUAL,0.8778828
TELESALES REPRESENTATIVE,0.78067213
CASHIER,0.9323346
OFFICE STAFF,0.9467906
UTILIFT STAFF,0.9434328
SALES REPRENSETATIVE,0.7974688
MANDARIN BILINGUAL,0.83827615
NON-VOICE TUTOR,0.6145118
MANDARIN BILINGUAL,0.8307801
MANDARIN BILINGUAL,0.8237344
OFFICE STAFF,0.9488497
VIETNAMESE BILINGUAL,0.9129771
SALESMAN,0.9432707
OFFICE STAFF,0.953664
VERIFICATION SPECIALIST,1.0000004
CASHIER,0.95126975
PART-TIME-BARISTA,0.96024024
FEMALE OFFICE STAFF,0.8978498
CREDIT & COLLECTION STAFF,0.86762756
CLAIMS-IN-CHARGE,0.95493644
JAPANESE BILINGUAL,0.92548245
FEMALE OFFICE STAFF,0.864416
OFFICE STAFF,0.9438991
FABRICATOR,0.8906191
PRODUCTION HELPER,0.9443461
OFFICE STAFF,0.6541993
SALESMAN ,0.7014198
AREA SUPERVISOR,0.95426977
FIELD STAFF,0.43454456
CLAIMS-IN-CHARGE,0.937513
HR STAFF,0.93039256
SALESMAN,0.9457432
CLAIMS-IN-CHARGE,0.94754934
EXTRUCT SALESMAN,0.9396977
CASHIER,0.8899792
UTILIFT STAFF,0.9368623
VERIFICATION SPECIALIST,1.0000004
HR STAFF,0.85194904
SALES REPRESENTATIVE,0.9166333
SALES REPRESENTATIVE,0.92435306
JAPANESE BILIGUAL,0.93890214
SPANISH BILINGUAL,0.94484633
TRADE MARKETING OFFICER,0.9240035
PRODUCTION HELPER,0.9084036
FIELD SALES SUPERVISOR,0.88442636
SALESMAN,0.80943525
PASSENGER SERVICE AGENT,0.90530854
PASSENGER SERVICE AGENT,0.8703038
SALESMAN,0.923701
FOOD PREPARATION,0.91865396
TELESALES REPRESENTATIVE,0.90487653
PASSENGER SERVICE AGENT,0.7222507
EXTRUCT SALESMAN,0.94128543
TELESALES REPRESENTATIVE,0.93100065
SALES REPRESENTATIVE,0.9497328
PRODUCTION HELPER,0.9449803
OFFICE STAFF,0.944193
PRODUCTION HELPER,0.951362
PRODUCTION HELPER,0.94703126
VERIFICATION SPECIALIST,1.0000004
OFFICE STAFF,0.9408235
SECURITY GUARD,0.91150767
SALESMAN,0.6913282
SALES SUPERVISOR,0.93698
SALES REPRESENTATIVE,0.9209582
PASSENGER SERVICE AGENT,0.8624468
OFFICE STAFF,0.96230626
OFFICE STAFF,0.9250278
SALESMAN,0.9427625
DRIVER SALESMAN,0.89986694
SPANISH BILINGUAL,0.9447242
TRADE MARKETING OFFICER,0.9418735
AREA SUPERVISOR,0.9464723
SECURITY GUARD,0.8499515
OFFICE STAFF,0.9513062
AREA SUPERVISOR,0.9439054
FIELD SALES SUPERVISOR,0.8545336
PRODUCTION HELPER,0.9453753
UTILIFT STAFF,0.93383044
UTILIFT STAFF,0.9352439
PRODUCTION HELPER,0.95690835
OFFICE STAFF,0.9463808
DRIVER SALESMAN,0.934465
WAREHOUSE PRODUCTION STAFF,0.8937774
SALES REPRESENTATIVE,0.93462116
ACCOUNTING HEAD,0.9460058
OFFICE STAFF,0.9285526
OFFICE STAFF,0.96107554
STORE SUPERVISOR,0.9475532
SALES SUPERVISOR,0.9355781
PRODUCTION HELPER,0.91450286
HR RECRUITER,0.95543057
FEMALE OFFICE STAFF,0.84988666
SERVICE CREW,0.9331361
OFFICE STAFF,0.9453004
ACCOUNTING HEAD,0.93361706
JAPANESE BILIGUAL,0.9668727
PASSENGER SERVICE AGENT,0.8459348
PRODUCTION HELPER,0.93430924
TRUCK HELPER,0.75150585
INVENTORY ANALYST,0.92773724
FOOD PREPARATION,0.9146514
TELESALES REPRESENTATIVE,0.89391315
SALES REPRESENTATIVE,0.91406953
OFFICE STAFF,0.9062628
FEMALE OFFICE STAFF,0.90875256
OFFICE STAFF,0.9044016
FEMALE OFFICE STAFF,0.90508837
BARISTA,0.8730395
BARISTA,0.68160254
TELESALES REPRESENTATIVE,0.7923631
FOOD PREPARATION,0.88083196
NON-VOICE TUTOR,0.60850143
NON-VOICE TUTOR,0.60850143
OFFICE STAFF,0.9033167
FABRICATOR,0.91063076
OPERATIONS MANAGER,0.904897
JUNIOR MANAGEMENT TRAINEE,0.8487535
SALES REPRESENTATIVE,0.8868472
FABRICATOR,0.9267099
AREA SUPERVISOR,0.89478266
FOOD PREPARATION,0.9271692
EXTRUCT SALESMAN,0.9565195
TELESALES REPRESENTATIVE,0.82577306
OFFICE STAFF,0.9192043
SERVICE CREW,0.92128813
OFFICE STAFF,0.92457074
FOOD PREPARATION,0.9078377
VERIFICATION SPECIALIST,1.0000004
BARISTA,0.8577019
JUNIOR MANAGEMENT TRAINEE,0.7473037
BRANCH SECRETARY,0.9427626
MALE SERVICE STAFF,0.55959225
FEMALE OFFICE STAFF,0.8532476
NON-VOICE TUTOR,0.60850143
TELESALES REPRESENTATIVE,0.8900773
OPERATIONS SUPERVISOR,0.81919765
FOOD PREPARATION,0.84168595
SERVICE CREW,0.9351599
TELESALES REPRESENTATIVE,0.8660885
FEMALE OFFICE STAFF,0.9018576
NON-VOICE TUTOR,0.60850143
NON-VOICE TUTOR,0.60850143
FABRICATOR,0.9013801
OFFICE STAFF,0.8783261
OFFICE STAFF,0.9253625
INVENTORY ANALYST,0.9290892
INVENTORY ANALYST,0.9205317
OFFICE STAFF,0.9140918
MANAGEMENT TRAINEE,0.7939392
OFFICE STAFF,0.9162862
FOOD PREPARATION,0.91939837
OFFICE STAFF,0.90947324
FIELD STAFF,0.6051161
WAREHOUSE SECRETARY,0.8995578
BARISTA,0.75508094
FOOD PREPARATION,0.89907426
NON-VOICE TUTOR,0.60850143
FOOD PREPARATION,0.8994151
FABRICATOR,0.92312944
AREA SUPERVISOR,0.8642732
SALES SUPERVISOR,0.9111633
NON-VOICE TUTOR,0.60850143
INVENTORY ANALYST,0.9281493
FOOD PREPARATION,0.9425821
OFFICE STAFF,0.913952
FOOD PREPARATION,0.8873532
PASSENGER SERVICE AGENT,0.890898
JUNIOR MANAGEMENT TRAINEE,0.9134746
FEMALE OFFICE STAFF,0.92638546
JUNIOR MANAGEMENT TRAINEE,0.92254525
FEMALE OFFICE STAFF,0.9158399
FEMALE OFFICE STAFF,0.9255363
FABRICATOR,0.9192073
AREA SUPERVISOR,0.80342054
FOOD PREPARATION,0.9346332
FOOD PREPARATION,0.93646914
FOOD PREPARATION,0.91889405
FOOD PREPARATION,0.93472666
FEMALE OFFICE STAFF,0.9016352
FOOD PREPARATION,0.8762612
OFFICE STAFF,0.909529
SALES REPRESENTATIVE,0.9149243
FABRICATOR,0.9050069
OFFICE STAFF,0.9225694
MANDARIN BILINGUAL,0.9083125
INVENTORY ANALYST,0.8653589
OPERATIONS SUPERVISOR,0.86112857
PRODUCTION HELPER,0.9261984
TELESALES REPRESENTATIVE,0.89965874
NON-VOICE TUTOR,0.60850143
TELESALES REPRESENTATIVE,0.91830564
TELESALES REPRESENTATIVE,0.87891114
FABRICATOR,0.91759694
OFFICE STAFF,0.90783185
SERVICE CREW,0.9302441
INVENTORY ANALYST,0.89853513
FABRICATOR,0.9145654
SERVICE CREW,0.91327167
OFFICE STAFF,0.92261505
PASSENGER SERVICE AGENT,0.90058994
JUNIOR MANAGEMENT TRAINEE,0.88584375
OFFICE STAFF,0.9071792
ACCOUNTS SPECIALIST,0.9221684
OFFICE STAFF,0.933134
SERVICE CREW,0.90570694
OFFICE STAFF,0.92454606
TRUCK HELPER,0.65979135
VERIFICATION SPECIALIST,1.0000004
SALES REPRENSETATIVE,0.7627304
SPANISH BILINGUAL,0.9360654
WAREHOUSE SECRETARY,0.5264372
JAPANESE BILINGUAL,0.9136196
DRIVER SALESMAN,0.9314476
JAPANESE BILIGUAL,0.9338991
PRODUCTION HELPER,0.928227
HR STAFF,0.87347806
SALES REPRENSETATIVE,0.79116124
OFFICE STAFF,0.86330473
SERVICE CREW,0.91892487
PRODUCTION HELPER,0.96702164
SALES SERVICE DEVELOPER,0.92274565
JAPANESE BILIGUAL,0.9390792
PROMOTER,0.9086853
