job_title,preprocessed_text
DRIVER SALESMAN,"pa virginia driver salesman butuan qualification completed least seventytwo unit college e know drive 6wheeled vehicle driver license rc one hundred twentythree equivalent e willing assigned area caraga e vfihrnorthmingmailcom nine hundred seventeen eight hundred sixtyone six thousand four hundred twentyeight sac A Driver Salesman is responsible for selling products or services to customers while on the road, typically in a vehicle. The role involves driving to different locations, interacting with customers, and demonstrating or showcasing products to potential buyers.

Key Responsibilities:

Drive a vehicle to different locations, such as customer sites, trade shows, and sales events
Interact with customers, understand their needs, and demonstrate or showcase products
Sell products or services to customers, negotiate prices, and close deals
Maintain accurate records of sales, customer interactions, and product demonstrations
Collaborate with other sales team members to achieve sales goals and targets
Provide excellent customer service, respond to customer inquiries, and resolve customer complaints
Stay up-to-date with product knowledge, industry trends, and competitor activity
Participate in sales training and development programs to improve sales skills and knowledge
Requirements:

Education:
High school diploma or equivalent
Experience:
1-2 years of experience in sales, marketing, or a related field
Proven experience in driving and navigating in a sales role
Skills:
Excellent communication and interpersonal skills
Strong sales and negotiation skills
Ability to work independently and as part of a team
Ability to build and maintain strong relationships with customers
Knowledge of sales techniques, product knowledge, and industry trends
Certifications:

None specified, but a valid driver's license is required.
Additional Requirements:

Familiarity with sales software and systems, such as CRM and sales automation tools
Experience with product demonstrations and sales presentations
Knowledge of sales strategies, tactics, and techniques
Strong organizational and time management skills.
Physical Requirements:

Ability to drive a vehicle for extended periods
Ability to lift and move heavy products or equipment
Ability to work in a fast-paced and dynamic environment."
DRIVER,"ga f river professional driver license 123 work minimum supervision flexible ay e honest least high school graduatelevel A Driver is responsible for safely operating a vehicle to transport people, goods, or materials from one location to another. The role involves following traffic laws and regulations, navigating through different routes, and ensuring the vehicle is in good working condition.

Key Responsibilities:

Safely operate a vehicle to transport people, goods, or materials
Follow traffic laws and regulations, such as speed limits and traffic signals
Navigate through different routes, including highways, streets, and alleys
Ensure the vehicle is in good working condition, including regular maintenance and inspections
Load and unload cargo, such as packages, furniture, or equipment
Provide excellent customer service, respond to customer inquiries, and resolve customer complaints
Maintain accurate records of trips, including routes, times, and mileage
Participate in safety training and development programs to improve driving skills and knowledge
Requirements:

Education:
High school diploma or equivalent
Experience:
1-2 years of experience as a driver, preferably in a specific industry or role
Skills:
Excellent driving skills and knowledge of traffic laws and regulations
Strong time management and organizational skills
Ability to work independently and as part of a team
Ability to build and maintain strong relationships with customers and colleagues
Knowledge of vehicle maintenance and repair
Certifications:

Commercial Driver's License (CDL) may be required for certain types of driving, such as trucking or bus driving.
Other certifications, such as Hazmat or tanker endorsement, may be required for specific types of cargo.
Additional Requirements:

Familiarity with vehicle tracking and monitoring systems
Experience with cargo handling and loading
Knowledge of safety procedures and protocols
Strong communication and customer service skills.
Physical Requirements:

Ability to sit for long periods of time
Ability to lift and move heavy objects
Ability to work in a fast-paced and dynamic environment."
ENCODER,"2a one 7 encoders female without experience work minimum supervision flexible honest least college graduatelevel shs graduate fresh graduate welcome apply computer literate excel word An Encoder is responsible for converting data or information from one format to another, often from an analog signal to a digital signal. The role involves using specialized equipment or software to encode data, ensuring that it is accurate, efficient, and secure.

Key Responsibilities:

Convert data or information from one format to another using encoding equipment or software
Ensure that encoded data is accurate, efficient, and secure
Use specialized equipment or software to encode data, such as audio or video signals
Test and troubleshoot encoding equipment or software to ensure that it is functioning correctly
Collaborate with other team members to ensure that encoded data is properly formatted and transmitted
Develop and implement encoding standards and protocols to ensure consistency and quality
Stay up-to-date with new technologies and techniques in encoding and data conversion
Requirements:

Education:
Bachelor's degree in a related field, such as computer science or engineering
Experience:
2-5 years of experience in encoding or data conversion, preferably in a specific industry or role
Skills:
Excellent technical skills and knowledge of encoding equipment or software
Strong analytical and problem-solving skills
Ability to work independently and as part of a team
Ability to build and maintain strong relationships with colleagues and customers
Knowledge of data formats, protocols, and standards
Certifications:

Certified Encoder (CE) certification
Certified Data Conversion Specialist (CDCS) certification
Additional Requirements:

Familiarity with data compression and encryption techniques
Experience with audio or video encoding software, such as MP3 or H.264
Knowledge of data transmission protocols, such as TCP/IP or HTTP
Strong communication and customer service skills.
Physical Requirements:

Ability to sit for long periods of time
Ability to work in a fast-paced and dynamic environment."
EXTRUCT SALESMAN,"e hn oa ee acer veoh ae rn four two position extruck salesman four requirement ee bachelor degree marketing business related field learning ability understand function quality specification product ability understand apply basic selling strategy practice numerical ability calculate price profit credit discount credit term clerical ability maintain accurate record transaction prepare report function prescribed time time omfs sten aalto ability work well pressure ahd nine billion nine hundred fortyfour million eight hundred thirtynine thousand eight hundred fortyfive An Extruct Salesman is responsible for selling extruded products, such as pipes, tubes, and profiles, to customers in various industries. The role involves understanding customer needs, providing product information and specifications, and negotiating sales agreements.

Key Responsibilities:

Meet with customers to understand their needs and requirements for extruded products
Provide product information and specifications to customers, including material properties, dimensions, and finishes
Negotiate sales agreements with customers, including prices, delivery times, and payment terms
Develop and maintain relationships with customers to ensure repeat business and referrals
Collaborate with internal teams, such as sales and marketing, to ensure effective sales strategies and tactics
Stay up-to-date with industry trends, new products, and customer needs to ensure competitive advantage
Develop and maintain product knowledge to provide accurate and effective sales support
Requirements:

Education:
Bachelor's degree in a related field, such as business, engineering, or materials science
Experience:
2-5 years of experience in sales, preferably in the extruded products industry
Skills:
Excellent communication and interpersonal skills
Strong sales and negotiation skills
Ability to work independently and as part of a team
Ability to build and maintain strong relationships with customers
Knowledge of extruded products, including materials, dimensions, and finishes
Certifications:

Certified Sales Professional (CSP) certification
Certified Product Specialist (CPS) certification
Additional Requirements:

Familiarity with industry standards and regulations, such as ASTM and ISO
Experience with sales software and systems, such as CRM and sales automation tools
Knowledge of market trends and competitor activity
Strong analytical and problem-solving skills.
Physical Requirements:

Ability to travel to customer sites and trade shows
Ability to work in a fast-paced and dynamic environment."
FABRICATOR,"ud aoiphil inc e five welderfabricator qualification e nc ii welder smaw 12 year experience e able understand standard operation process flexible responsible honesttrustworthy communicate understand instruction easily responsible hardworking send application letter resume aoiphilrecruitmentgmailcom eet A Fabricator is responsible for creating or assembling parts, products, or structures from raw materials, such as metal, wood, or plastic. The role involves using various tools and equipment to cut, shape, and assemble materials, and ensuring that the finished product meets specifications and quality standards.

Key Responsibilities:

Read and interpret blueprints, diagrams, or other instructions to understand the project requirements
Select and prepare the necessary materials, tools, and equipment for the project
Use various tools and equipment, such as saws, drills, and welding machines, to cut, shape, and assemble materials
Assemble parts or products from raw materials, using techniques such as welding, riveting, or bolting
Inspect and test the finished product to ensure it meets specifications and quality standards
Collaborate with other team members, such as designers and engineers, to ensure that the product meets design and functional requirements
Develop and maintain skills and knowledge in fabricating techniques, materials, and equipment
Requirements:

Education:
High school diploma or equivalent
Experience:
2-5 years of experience in fabrication, preferably in a specific industry or role
Skills:
Excellent manual dexterity and hand-eye coordination
Strong attention to detail and ability to follow instructions
Ability to work independently and as part of a team
Ability to lift and move heavy materials and equipment
Knowledge of fabrication techniques, materials, and equipment
Certifications:

Certified Fabricator (CF) certification
Certified Welding Inspector (CWI) certification
Additional Requirements:

Familiarity with industry standards and regulations, such as OSHA and ISO
Experience with fabrication software and systems, such as CAD and CAM
Knowledge of materials science and properties
Strong analytical and problem-solving skills.
Physical Requirements:

Ability to lift and move heavy materials and equipment
Ability to work in a fast-paced and dynamic environment
Ability to wear personal protective equipment (PPE) and follow safety protocols."
FIELD SALES SUPERVISOR,"poseidon enterprise inc jas job description responsible area development building excellent customer relationship supporting underperforming sale personnel effectively executing responsibility ualifications pa bachelor degree business related field four preferably field sale experience willing work travel anywhere yy five caraga region j four walkin applicant nai located door 2 2nd floor ey parifias building south montilla boulevard ba butuan city ci one lar apply et f poseidon enterprise inc 09617676509 09499972638 sette oles laeat sath et ect ae A Field Sales Supervisor is responsible for overseeing a team of sales representatives in the field, ensuring they are meeting sales targets, providing excellent customer service, and adhering to company policies and procedures. The role involves coaching, mentoring, and motivating the sales team to achieve their goals and objectives.

Key Responsibilities:

Supervise and manage a team of sales representatives in the field
Set sales targets and goals for the team and individual sales representatives
Provide coaching, mentoring, and guidance to sales representatives to improve their sales skills and performance
Conduct regular sales meetings and training sessions to ensure the team is informed and aligned with company objectives
Analyze sales data and performance metrics to identify areas for improvement and develop strategies to increase sales
Collaborate with other departments, such as marketing and product development, to ensure alignment and effective communication
Develop and implement sales strategies and tactics to achieve sales targets and goals
Conduct regular customer visits and feedback sessions to ensure customer satisfaction and identify opportunities for growth
Manage and resolve customer complaints and issues in a timely and professional manner
Requirements:

Education:
Bachelor's degree in a related field, such as business, marketing, or sales
Experience:
3-5 years of experience in sales and sales management, preferably in a field sales environment
Skills:
Excellent leadership and management skills
Strong communication and interpersonal skills
Ability to motivate and inspire a team to achieve their goals and objectives
Strong analytical and problem-solving skills
Ability to work in a fast-paced and dynamic environment
Certifications:

Certified Sales Professional (CSP) certification
Certified Sales Manager (CSM) certification
Additional Requirements:

Familiarity with sales software and systems, such as CRM and sales automation tools
Experience with sales analytics and performance metrics
Knowledge of sales strategies and tactics
Strong customer service and relationship-building skills.
Ability to work in a fast-paced and dynamic environment."
FIELD STAFF,"field staff location butuan city must male eighteen thirty year old driver license basic computer knowledge sale driven willing trained Field Staff are responsible for performing various tasks and duties in the field, such as conducting site inspections, collecting data, and interacting with customers and stakeholders. The role involves working in a fast-paced and dynamic environment, often in outdoor or field settings.

Key Responsibilities:

Conduct site inspections to collect data and assess conditions
Interact with customers and stakeholders to gather information and provide support
Perform various tasks and duties in the field, such as collecting samples or conducting surveys
Use specialized equipment and tools to perform tasks and duties
Maintain accurate and detailed records of field activities and observations
Collaborate with other team members and departments to ensure effective communication and coordination
Develop and maintain knowledge of industry standards, regulations, and best practices
Stay up-to-date with new technologies and techniques in the field
Requirements:

Education:
High school diploma or equivalent
Experience:
1-2 years of experience in a field-related role, such as construction, engineering, or environmental science
Skills:
Excellent communication and interpersonal skills
Strong attention to detail and ability to follow instructions
Ability to work independently and as part of a team
Ability to lift and move heavy equipment and materials
Knowledge of field-related equipment and tools
Certifications:

OSHA certification
First aid and CPR certification
Additional Requirements:

Familiarity with industry standards and regulations, such as OSHA and EPA
Experience with field-related software and systems, such as GPS and mapping tools
Knowledge of safety protocols and procedures
Strong analytical and problem-solving skills.
Ability to work in a fast-paced and dynamic environment.
Physical Requirements:

Ability to work in outdoor or field settings for extended periods
Ability to lift and move heavy equipment and materials
Ability to work at heights or in confined spaces
Ability to wear personal protective equipment (PPE) and follow safety protocols."
FIELD SUPERVISOR,"field supervisor witho educational attainment okay pleasing personaliy good attitude kind gender okay positive mindset ikaw ay tambay chance A Field Sales Supervisor is responsible for overseeing a team of sales representatives in the field, ensuring they are meeting sales targets, providing excellent customer service, and adhering to company policies and procedures. The role involves coaching, mentoring, and motivating the sales team to achieve their goals and objectives.

Key Responsibilities:

Supervise and manage a team of sales representatives in the field
Set sales targets and goals for the team and individual sales representatives
Provide coaching, mentoring, and guidance to sales representatives to improve their sales skills and performance
Conduct regular sales meetings and training sessions to ensure the team is informed and aligned with company objectives
Analyze sales data and performance metrics to identify areas for improvement and develop strategies to increase sales
Collaborate with other departments, such as marketing and product development, to ensure alignment and effective communication
Develop and implement sales strategies and tactics to achieve sales targets and goals
Conduct regular customer visits and feedback sessions to ensure customer satisfaction and identify opportunities for growth
Manage and resolve customer complaints and issues in a timely and professional manner
Requirements:

Education:
Bachelor's degree in a related field, such as business, marketing, or sales
Experience:
3-5 years of experience in sales and sales management, preferably in a field sales environment
Skills:
Excellent leadership and management skills
Strong communication and interpersonal skills
Ability to motivate and inspire a team to achieve their goals and objectives
Strong analytical and problem-solving skills
Ability to work in a fast-paced and dynamic environment
Certifications:

Certified Sales Professional (CSP) certification
Certified Sales Manager (CSM) certification
Additional Requirements:

Familiarity with sales software and systems, such as CRM and sales automation tools
Experience with sales analytics and performance metrics
Knowledge of sales strategies and tactics
Strong customer service and relationship-building skills.
Ability to work in a fast-paced and dynamic environment."
FINANCE STAFF,"ste bidgem need provide available position finance staff general responsibility e officebased work generally tasked finance related computer work administrative related function general requirement e applicant must college graduate shsabm strand graduate preferably female e application letter ye e resume curriculum vitae transcript record zl lt applicant must able use computer laptop l ip knowledgeable use m word ppt excel eee application ae highly analytical send document Job Title: Finance Staff

Company: [Your Company Name]

Location: [Your Company Location]

Job Summary:

[Your Company Name] is seeking a highly motivated and detail-oriented Finance Staff member to join our dynamic finance team. The Finance Staff will be responsible for supporting various financial operations, including accounts payable/receivable, data entry, reconciliation, and general administrative tasks. The ideal candidate will possess strong organizational skills, a keen eye for accuracy, and a solid understanding of basic accounting principles.

Responsibilities:

Accounts Payable/Receivable:
Process invoices and payments accurately and in a timely manner.
Maintain accurate records of accounts payable and receivable transactions.
Follow up on outstanding invoices and resolve discrepancies.
Data Entry and Record Keeping:
Enter financial data into accounting software and databases.
Maintain organized and accurate financial records.
Ensure compliance with company policies and procedures.
Reconciliation:
Reconcile bank statements and other financial reports.
Identify and resolve discrepancies in financial data.
Financial Reporting:
Assist in the preparation of monthly and quarterly financial reports.
Provide supporting documentation for financial audits.
General Administrative Support:
Assist with general administrative tasks, such as filing, photocopying, and data management.
Respond to inquiries from internal and external stakeholders.
Assist with audit preparation.
Compliance:
Maintain up to date knowledge of all relevant financial regulations.
Ensure all financial activities adhere to company, local, and national laws.
Qualifications:

Associate's or Bachelor's degree in Accounting, Finance, or a related field preferred.
Proven experience in a finance or accounting role (entry-level positions are also considered).   
Strong understanding of basic accounting principles.
Proficiency in Microsoft Office Suite, especially Excel.
Experience with accounting software (e.g., QuickBooks, SAP) is a plus.
Excellent attention to detail and accuracy.
Strong organizational and time-management skills.
Ability to work independently and as part of a team.   
Excellent communication and interpersonal skills.   
Ability to maintain confidentiality.
Preferred Skills:

Experience with financial reporting.
Knowledge of GAAP.
Experience with auditing.
Benefits:

Competitive salary.
Comprehensive benefits package (health, dental, vision, etc.).
Opportunities for professional development and growth.
Positive and supportive work environment.
To Apply:

Please submit your resume and cover letter to [Your Email Address] or apply through our online portal at [Your Website/Application Link]."
FINISHING CARPENTER,"grorrnie inc ee eight finishing carpenter ye ff one qualification physically fit e proven experience finishing carpenter knowledge using hand power tool work overtime holiday sunday must dedicated hardworking send application letter resume ae eet Job Title: Finance Staff

Company: [Your Company Name]

Location: [Your Company Location]

Job Summary:

[Your Company Name] is seeking a highly motivated and detail-oriented Finance Staff member to join our dynamic finance team. The Finance Staff will be responsible for supporting various financial operations, including accounts payable/receivable, data entry, reconciliation, and general administrative tasks. The ideal candidate will possess strong organizational skills, a keen eye for accuracy, and a solid understanding of basic accounting principles.

Responsibilities:

Accounts Payable/Receivable:
Process invoices and payments accurately and in a timely manner.
Maintain accurate records of accounts payable and receivable transactions.
Follow up on outstanding invoices and resolve discrepancies.
Data Entry and Record Keeping:
Enter financial data into accounting software and databases.
Maintain organized and accurate financial records.
Ensure compliance with company policies and procedures.
Reconciliation:
Reconcile bank statements and other financial reports.
Identify and resolve discrepancies in financial data.
Financial Reporting:
Assist in the preparation of monthly and quarterly financial reports.
Provide supporting documentation for financial audits.
General Administrative Support:
Assist with general administrative tasks, such as filing, photocopying, and data management.
Respond to inquiries from internal and external stakeholders.
Assist with audit preparation.
Compliance:
Maintain up to date knowledge of all relevant financial regulations.
Ensure all financial activities adhere to company, local, and national laws.
Qualifications:

Associate's or Bachelor's degree in Accounting, Finance, or a related field preferred.
Proven experience in a finance or accounting role (entry-level positions are also considered).   
Strong understanding of basic accounting principles.
Proficiency in Microsoft Office Suite, especially Excel.
Experience with accounting software (e.g., QuickBooks, SAP) is a plus.
Excellent attention to detail and accuracy.
Strong organizational and time-management skills.
Ability to work independently and as part of a team.   
Excellent communication and interpersonal skills.   
Ability to maintain confidentiality.
Preferred Skills:

Experience with financial reporting.
Knowledge of GAAP.
Experience with auditing.
Benefits:

Competitive salary.
Comprehensive benefits package (health, dental, vision, etc.).
Opportunities for professional development and growth.
Positive and supportive work environment.
To Apply:

Please submit your resume and cover letter to [Your Email Address] or apply through our online portal at [Your Website/Application Link]."
FOOD SERVER,"colum sat ss nelson fascia ee el erel paw am ssis erol aun pws tel e ata te s ie rai food preparation male qualification least h graduate pleasing personality related work experience basic requirement ss philhealth pagibig tin Job Summary:

[Your Company Name/Restaurant Name] is seeking a dedicated and efficient Food Preparer to join our kitchen team. The Food Preparer will be responsible for preparing ingredients, assembling dishes, and maintaining a clean and organized work environment. The ideal candidate will have a passion for food, a strong work ethic, and the ability to work effectively in a fast-paced environment. ud aoiphil inc ee ee e qualification candidate must possess least diploma hospitality tourismhotel management equivalent e least one year working experience in hotelrestaurant open fresh graduate e good written oral communication good leadership skill send application letter resume aoiphilrecruitmentgmailcom eet

Responsibilities:

Ingredient Preparation:
Wash, peel, chop, slice, and dice fruits, vegetables, and other ingredients according to established recipes and standards.
Measure and portion ingredients accurately.
Prepare sauces, dressings, and other condiments.
Ensure all ingredients are fresh and of high quality.
Dish Assembly:
Assemble sandwiches, salads, and other dishes according to established recipes and presentation guidelines.
Portion and plate food items for service.
Ensure consistent quality and presentation of all dishes.
Kitchen Maintenance:
Maintain a clean and organized work area, including workstations, equipment, and storage areas.
Wash and sanitize dishes, utensils, and cooking equipment.
Dispose of trash and recyclables properly.
Follow all food safety and sanitation guidelines.
Inventory Management:
Assist with inventory control and stock rotation.
Notify kitchen staff of low inventory levels.
Receive and store deliveries properly.
Teamwork:
Work effectively as part of a team to ensure efficient kitchen operations.
Communicate effectively with kitchen staff and other team members.
Follow all instructions given by the kitchen supervisor, or chef.
Qualifications:

Previous experience in food preparation is preferred, but not required (we are willing to train the right candidate).
Ability to follow recipes and instructions accurately.
Strong attention to detail and organizational skills.
Ability to work efficiently in a fast-paced environment.1   
1.
www.thejobnetwork.com
www.thejobnetwork.com
Good communication and teamwork skills.
Knowledge of food safety and sanitation guidelines is a plus.
Ability to stand for long periods of time and lift heavy objects.
A positive attitude.
Preferred Skills:

Food Handler's certification.
Experience with specific kitchen equipment.
Knowledge of various cuisines.
Benefits:

Competitive hourly wage.
Employee discounts on food.
Opportunities for advancement.
Positive and supportive work environment."
GEODETIC ENGINEER,"italpinas ibc development corporation ce ee hiring join team qualification responsibility bachelor science geodetic engineer graduate e alicensed geodetic engineer strong organizational skill effective communication skill agreat analytic creative thinker atleast one year experience property surveying relocation survey topographic survey asbuilt survey tree tagging planmapcertification caap height limitation permit establishing control point construction nine primavera 2f upper carmen please send resume cagayan de oro city hrrecruitmentitalpinascom A Geodetic Engineer plays a crucial role in accurately measuring and mapping the Earth's surface. Here's a comprehensive job description:

Job Title: Geodetic Engineer

Company: [Your Company Name]

Location: [Your Company Location]

Job Summary:

[Your Company Name] is seeking a highly skilled and detail-oriented Geodetic Engineer to join our team. The Geodetic Engineer will be responsible for conducting precise measurements of the Earth's surface, using advanced surveying equipment and techniques. This role involves data analysis, map creation, and collaboration with various stakeholders to support construction, land development, and other projects.

Responsibilities:

Conducting Surveys:
Perform land surveys, construction surveys, and other geodetic measurements using equipment such as GPS, total stations, and LiDAR.
Establish control points and benchmarks for accurate measurements.
Collect and analyze spatial data.
Data Analysis and Processing:
Process survey data using specialized software (e.g., GIS, AutoCAD).
Analyze data to determine elevations, distances, and boundaries.
Create maps, charts, and reports based on survey data.
Map Creation and Documentation:
Develop accurate and detailed maps, plans, and charts.
Maintain accurate records of survey data and documentation.
Ensure compliance with surveying standards and regulations.
Collaboration and Communication:
Collaborate with civil engineers, architects, and construction teams.
Communicate survey results and technical information to clients and stakeholders.
Provide technical support and guidance on geodetic matters.
Equipment Maintenance:
Maintain and calibrate surveying equipment.
Ensure equipment is in proper working order.
Regulatory Compliance:
Ensure all survey work adheres to local, state, and national surveying regulations.
Qualifications:

Bachelor's degree in Geodetic Engineering or a related field.
Professional licensure as a Geodetic Engineer is highly preferred.
Proficiency in using surveying equipment and software.
Strong knowledge of surveying principles and techniques.
Excellent analytical and problem-solving skills.
Ability to read and interpret maps and blueprints.
Strong communication and interpersonal skills.
Ability to work independently and as part of a team.
Preferred Skills:

Experience with GIS software (e.g., ArcGIS, QGIS).   
Knowledge of remote sensing and photogrammetry.
Experience with construction surveying.
Benefits:

Competitive salary.
Comprehensive benefits package.
Opportunities for professional development.
Dynamic and collaborative work environment.   
To Apply:

Please submit your resume and cover letter to [Your Email Address] or apply through our online portal at [Your Website/Application Link]."
HOUSEKEEPER,"gprorrnisinc hotel housekeeping staff qualification preferably male e high school diploma vocational diploma shortcourse certificate e nc2 certificate e least two year work experience required position e fully vaccinated dependable hardworking send application nine letter resume aoiphilrecruitmentgmailcom oe Job Title: Housekeeper

Company: [Your Company Name/Private Residence/Hotel Name]

Location: [Your Company Location/Private Residence Location]

Job Summary:

[Your Company Name/Private Residence/Hotel Name] is seeking a reliable and detail-oriented Housekeeper to maintain a clean, organized, and comfortable environment. The Housekeeper will be responsible for performing a variety of cleaning and maintenance tasks, ensuring that all areas are tidy and well-maintained.

Responsibilities:

General Cleaning:
Dusting and polishing furniture, fixtures, and surfaces.
Sweeping, mopping, and vacuuming floors.
Cleaning and sanitizing bathrooms, kitchens, and other living areas.
Emptying trash and recycling bins.
Bedroom and Living Area Maintenance:
Making beds and changing linens.
Organizing and tidying rooms.
Cleaning windows and mirrors.
Kitchen Duties:
Washing dishes and loading/unloading dishwashers.
Cleaning countertops and appliances.
Maintaining a clean and organized kitchen.
Laundry:
Washing, drying, and folding laundry.
Ironing clothing and linens.
Inventory and Supplies:
Monitoring and replenishing cleaning supplies.
Reporting any maintenance or repair needs.
Special Cleaning Tasks:
Performing deep cleaning tasks as needed (e.g., cleaning carpets, upholstery, or appliances).
Following specific cleaning instructions as provided by the employer.
Organization:
Keeping storage and cleaning areas organized.
Adherence to safety guidelines:
Following all safety protocols when handling cleaning chemicals and equipment.
Qualifications:

Previous experience as a housekeeper or in a similar cleaning role is preferred.
Strong attention to detail and organizational skills.
Ability to work independently and efficiently.
Good communication and interpersonal skills.   
Ability to follow instructions and complete tasks thoroughly.   
Reliability and punctuality.
Physical ability to perform tasks, including standing, bending, lifting, and carrying.
Preferred Skills:

Knowledge of different cleaning products and techniques.
Experience with specific cleaning equipment.
Ability to handle delicate items with care.
Benefits:

Competitive hourly wage.
Flexible hours (depending on the position).
Positive and supportive work environment.
To Apply:

Please submit your resume or application in person to [Your Company Location/Private Residence Location] or email it to [Your Email Address]."
HR STAFF,carpentersville wood shop two hiring seven hrstaff w j qualification bachelor degree psychology human resource development management office administration related course least one 1 year experience hr staff related position advantage e good communication skill oral written desire work internalexternal customer strong attention detail coordination able work independently minimal supervision creative interested applicant may send application letter resume hredocwsigmailcom contact u nine billion one hundred seventysix million two hundred forty thousand three hundred twentytwo p ae sa syn ro uk ay ae bc fo r oa o man pe service f nd pill ey dp four dy vv vw nt uf ry rx sh nl px paice area deployment smsi office cagayan de oro job qualification college graduate multitasking dedicated toward work pea oc mmm ease uu tote general requirement medical basic 5 w drug test mandatory benefit nbi barangay clearance interested applicant please send updated resume via messenger email u smsicdohryahoocom may call text m michelle 09056718257 ee eee eee ce eee eos bap buea p ye carpentersville wood shop j hiring j hr coordinator ii qualification bachelor degree psychology human resource development management office administration related course least one 1 year experience hr staff related position advantage good communication skill oral written desire work internalexternal customer strong attention detail coordination e able work independently minimal supervision creative interested applicant may send application letter resume contact u nine billion one hundred seventysix million two hundred forty thousand three hundred twentytwo hiring store hr coordinator job qualification candidate must possess least bachelorscollege degree field hr admin background timekeeping experience ae tel nahe meal service must team player excellent interpersonal skill oo6 triumphhomedepot aay wwwtriumphhomedepotcom
INVENTORY ANALYST,"position pa bachelor degree supply chain v management business administration oo marketing related field excellent communication corp organizational skill e experience database spreadsheet good computer skill strong analytical time management problemsolving skill send resume ralavegmailcom nine 710 san jose st brgy urduja butuan city hiring e inventory assistant job qualification bachelor degree course proficient computer skill including m office application excellent attention detail strong ability spot error inconsistency data ability maintain confidentiality proven experience encoder similar role oo6 triumphhomedepot aay wwwtriumphhomedepotcom Job Title: Inventory Analyst

Company: [Your Company Name]

Location: [Your Company Location]

Job Summary:

[Your Company Name] is seeking a meticulous and analytical Inventory Analyst to join our supply chain team. The Inventory Analyst will be responsible for monitoring and optimizing inventory levels, analyzing data to identify trends, and ensuring efficient inventory management processes. The ideal candidate will possess strong analytical skills, a keen eye for detail, and a solid understanding of inventory management principles.

Responsibilities:

Inventory Monitoring and Control:
Monitor inventory levels and identify potential shortages or overstock situations.
Implement and maintain inventory control procedures to ensure accuracy.
Conduct regular inventory audits and reconciliations.
Track and analyze inventory turnover rates.
Data Analysis and Reporting:
Analyze inventory data to identify trends and patterns.
Generate reports on inventory performance and key metrics.
Develop and maintain dashboards to visualize inventory data.
Forecast demand and optimize inventory levels accordingly.
Process Improvement:
Identify and recommend improvements to inventory management processes.
Collaborate with other departments to streamline supply chain operations.
Implement best practices for inventory management.
Vendor Management:
Assist in managing vendor relationships and ensuring timely deliveries.
Monitor vendor performance and identify potential issues.
Communicate with vendors regarding inventory levels and orders.
System Maintenance:
Maintain accurate inventory data within the company's ERP system.
Troubleshoot inventory-related system issues.
Assist with system upgrades and implementations.
Forecasting:
Create and maintain accurate forecasting models.
Work with sales and marketing to understand future demand.
Qualifications:

Bachelor's degree in Supply Chain Management, Business Administration, or a related field.
Proven experience as an Inventory Analyst or in a similar role.   
Strong analytical and problem-solving skills.
Proficiency in Microsoft Excel and ERP systems.   
Excellent attention to detail and accuracy.
Strong communication and interpersonal skills.
Ability to work independently and as part of a team.   
Preferred Skills:

Experience with inventory management software and tools.   
Knowledge of statistical analysis and forecasting techniques.
Certification in supply chain management (e.g., APICS).
Experience with SQL."
JAPANESE BILIGUAL,ye accenture ae hiring sa xe pd japanese bilingual 2 aw seven nine ae jlpt n3jnat3 intermediate japanese seven proficiency level n2ninative sap experience e purchasing mm inventory management seven interested two send firstname lastname email address mobile number position apply wndlyndnterpgmailcom submit detail subject line lastnameposition manila four cy dnase ox od beadbliss20 m accenture eued oa hiring mr3 japanese bilingual 1 mw e ae two jlpt n3jnat 3 intermediate proficiency level g n2ninative preferably translator technical writer interpreter ip customer service service desk help four desk tech support troubleshooting seven experience specific work wv domainfieldindustry experience ff required x interested submit detail send firstname lastname email address ac mobile number position apply nner nsa aa wndlyndnterpgmailcom subject line lastnameposition manila beadbliss20 m accenture eued oa hiring mr3 japanese bilingual 1 mw e ae two jlpt n3jnat 3 intermediate proficiency level g n2ninative preferably translator technical writer interpreter ip customer service service desk help four desk tech support troubleshooting seven experience specific work wv domainfieldindustry experience ff required x interested submit detail send firstname lastname email address ac mobile number position apply nner nsa aa wndlyndnterpgmailcom subject line lastnameposition manila beadbliss20]
